,Layertype,x_pos,y_pos
0,ONL,12555.007832898173,6307.537859007833
1,ONL,12642.49504950495,6307.3861386138615
2,ONL,13003.333333333334,6307.990990990991
3,ONL,12755.238461538462,6307.476923076923
4,ONL,12847.700507614214,6311.700507614213
5,ONL,12956.031496062991,6310.181102362205
6,ONL,12727.875486381325,6313.964980544747
7,ONL,12806.71505376344,6311.9838709677415
8,ONL,12778.6875,6312.475
9,ONL,12899.008064516129,6313.346774193548
10,ONL,12535.549242424242,6323.518939393939
11,ONL,12678.434504792333,6318.172523961662
12,ONL,13865.276422764227,6315.577235772358
13,ONL,13267.234234234234,6320.8378378378375
14,ONL,12584.175903614458,6327.631325301205
15,ONL,13220.005434782608,6328.451086956522
16,ONL,12509.146198830407,6328.625730994152
17,ONL,13305.83185840708,6335.451327433629
18,ONL,12790.798245614034,6339.850877192983
19,ONL,13330.682926829268,6341.993902439024
20,ONL,12611.373737373737,6346.0
21,ONL,12640.23870967742,6344.270967741935
22,ONL,12563.89375,6347.2
23,ONL,12766.238578680202,6349.309644670051
24,ONL,13372.335429769391,6350.144654088051
25,ONL,11107.880434782608,6347.402173913043
26,ONL,12842.276679841898,6350.533596837945
27,ONL,12657.429118773947,6359.459770114942
28,ONL,13405.78861788618,6355.772357723577
29,ONL,12722.082278481012,6354.392405063291
30,ONL,12781.978021978022,6362.164835164836
31,ONL,12508.757475083055,6375.803986710964
32,ONL,12588.633333333331,6381.303703703704
33,ONL,12826.0,6376.711538461538
34,ONL,13426.287081339711,6373.971291866029
35,ONL,12547.69523809524,6376.676190476191
36,ONL,12567.329192546584,6380.0
37,ONL,12712.12340425532,6383.438297872341
38,ONL,12942.254205607476,6399.042990654206
39,ONL,13302.27450980392,6383.696078431372
40,ONL,13323.093922651931,6385.983425414364
41,ONL,13470.59857142857,6396.262857142857
42,ONL,13095.27551020408,6389.397959183673
43,ONL,13133.71568627451,6389.950980392156
44,ONL,13387.496402877698,6391.597122302158
45,ONL,12488.663101604276,6395.491978609625
46,ONL,12636.784810126584,6388.139240506329
47,ONL,13411.67741935484,6401.4946236559135
48,ONL,13143.354166666666,6406.90625
49,ONL,12785.74358974359,6411.919413919414
50,ONL,13046.08988764045,6405.651685393258
51,ONL,13263.586206896553,6409.31724137931
52,ONL,13327.825757575758,6408.128787878788
53,ONL,13542.165322580646,6416.024193548387
54,ONL,12504.255172413794,6415.262068965517
55,ONL,12476.95223880597,6429.313432835821
56,ONL,12731.123456790125,6417.66049382716
57,ONL,12903.141666666666,6412.825
58,ONL,13378.315789473683,6411.350877192983
59,ONL,12840.743478260869,6421.634782608696
60,ONL,13567.076923076924,6420.447552447553
61,ONL,12554.53846153846,6420.369230769231
62,ONL,12694.264150943396,6425.396226415094
63,ONL,12882.673267326732,6420.316831683168
64,ONL,13069.370786516854,6422.0
65,ONL,13352.159420289856,6419.710144927536
66,ONL,13395.595180722892,6430.657831325301
67,ONL,13596.48051948052,6434.067532467532
68,ONL,12752.46956521739,6425.617391304348
69,ONL,12411.488235294117,6427.7
70,ONL,13050.298387096776,6430.0
71,ONL,13288.539325842698,6428.191011235955
72,ONL,13369.847328244276,6428.923664122138
73,ONL,12662.81673306773,6432.235059760957
74,ONL,13424.072340425531,6432.076595744681
75,ONL,12637.766129032258,6433.056451612903
76,ONL,13184.5,6430.619047619048
77,ONL,12918.516129032258,6433.991935483871
78,ONL,12342.82530120482,6462.433734939759
79,ONL,12948.514925373134,6439.873134328358
80,ONL,14435.135416666666,6446.572916666667
81,ONL,12460.281012658228,6454.605063291139
82,ONL,12814.734513274336,6444.230088495575
83,ONL,12429.529896907216,6455.270103092784
84,ONL,12736.464,6441.704
85,ONL,13481.773109243695,6443.798319327731
86,ONL,12758.33888888889,6446.288888888889
87,ONL,12990.54918032787,6443.606557377049
88,ONL,13560.417391304349,6446.843478260869
89,GL,13132.427027027026,6447.010810810811
90,ONL,12122.445887445889,6455.272727272727
91,ONL,12599.819875776397,6455.683229813664
92,GL,13285.602150537634,6447.096774193548
93,ONL,13635.722222222224,6450.277777777777
94,ONL,12028.892857142857,6449.375
95,ONL,12860.89932885906,6454.4093959731545
96,ONL,12963.0,6455.634020618557
97,GL,13173.126865671642,6452.194029850746
98,ONL,11994.409836065572,6452.868852459016
99,ONL,12074.669642857143,6451.580357142857
100,ONL,12540.969135802468,6459.413580246914
101,ONL,12646.667613636364,6457.519886363636
102,ONL,12908.098684210529,6457.414473684211
103,GL,13207.42686567164,6457.832835820896
104,ONL,12098.801762114535,6456.709251101322
105,ONL,12882.09411764706,6463.231372549019
106,GL,13388.066666666668,6455.4125
107,ONL,13508.081395348838,6457.038759689923
108,ONL,12216.974921630092,6461.686520376175
109,ONL,12382.4200913242,6459.118721461187
110,GL,13004.059523809525,6457.75
111,GL,13373.703703703704,6470.074074074074
112,ONL,11977.79713114754,6476.961065573771
113,ONL,12777.940789473683,6461.618421052632
114,GL,13354.569536423842,6462.05298013245
115,ONL,12190.430656934306,6472.2773722627735
116,ONL,12482.119658119658,6466.068376068376
117,GL,13064.381355932202,6465.025423728814
118,GL,13409.540880503144,6464.389937106918
119,ONL,12795.869158878504,6464.196261682243
120,GL,13027.185840707964,6464.504424778761
121,ONL,12518.18320610687,6467.2900763358775
122,GL,13133.608,6469.212
123,GL,13278.18918918919,6466.27027027027
124,ONL,12068.736462093862,6472.848375451264
125,ONL,12143.815286624204,6470.675159235669
126,ONL,12263.880952380952,6469.380952380952
127,ONL,12569.409395973154,6468.436241610738
128,GL,12973.42857142857,6469.683229813664
129,ONL,12002.850393700788,6473.55905511811
130,ONL,13656.467153284671,6472.678832116789
